month,rainfall_mm,fatalities,injured,total_casualties,traffic_volume,fatality_rate
2009-01-01,38.3,13.0,898.0,911.0,278400.0,1.5565134099616857
2009-02-01,201.8,12.0,853.0,865.0,278400.0,1.4367816091954022
2009-03-01,223.3,11.0,918.0,929.0,278400.0,1.317049808429119
2009-04-01,183.7,14.0,897.0,911.0,278400.0,1.6762452107279693
2009-05-01,198.6,22.0,927.0,949.0,278400.0,2.634099616858238
2009-06-01,21.8,10.0,893.0,903.0,278400.0,1.1973180076628351
2009-07-01,161.0,16.0,892.0,908.0,278400.0,1.9157088122605361
2009-08-01,177.8,14.0,966.0,980.0,278400.0,1.6762452107279693
2009-09-01,109.6,18.0,866.0,884.0,278400.0,2.1551724137931036
2009-10-01,133.4,13.0,917.0,930.0,278400.0,1.5565134099616857
2009-11-01,281.8,16.0,941.0,957.0,278400.0,1.9157088122605361
2009-12-01,189.8,24.0,918.0,942.0,278400.0,2.8735632183908044
2010-01-01,69.5,18.0,857.0,875.0,293300.0,2.0456870098874873
2010-02-01,6.3,7.0,854.0,861.0,293300.0,0.7955449482895783
2010-03-01,238.0,23.0,950.0,973.0,293300.0,2.6139334015229
2010-04-01,158.5,19.0,947.0,966.0,293300.0,2.1593362882145697
2010-05-01,157.5,18.0,1012.0,1030.0,293300.0,2.0456870098874873
2010-06-01,240.5,17.0,849.0,866.0,293300.0,1.9320377315604047
2010-07-01,298.5,16.0,1027.0,1043.0,293300.0,1.8183884532333219
2010-08-01,158.4,20.0,1055.0,1075.0,293300.0,2.2729855665416525
2010-09-01,121.5,14.0,970.0,984.0,293300.0,1.5910898965791567
2010-10-01,166.2,13.0,1040.0,1053.0,293300.0,1.477440618252074
2010-11-01,278.8,14.0,929.0,943.0,293300.0,1.5910898965791567
2010-12-01,181.4,14.0,838.0,852.0,293300.0,1.5910898965791567
2011-01-01,513.2,20.0,956.0,976.0,300000.0,2.222222222222222
2011-02-01,23.0,15.0,790.0,805.0,300000.0,1.6666666666666667
2011-03-01,256.6,17.0,893.0,910.0,300000.0,1.8888888888888888
2011-04-01,217.8,16.0,883.0,899.0,300000.0,1.7777777777777777
2011-05-01,127.0,15.0,866.0,881.0,300000.0,1.6666666666666667
2011-06-01,213.0,16.0,841.0,857.0,300000.0,1.7777777777777777
2011-07-01,76.6,19.0,914.0,933.0,300000.0,2.111111111111111
2011-08-01,81.4,19.0,907.0,926.0,300000.0,2.111111111111111
2011-09-01,136.4,15.0,910.0,925.0,300000.0,1.6666666666666667
2011-10-01,216.8,19.0,927.0,946.0,300000.0,2.111111111111111
2011-11-01,377.8,12.0,837.0,849.0,300000.0,1.3333333333333335
2011-12-01,284.6,12.0,887.0,899.0,300000.0,1.3333333333333335
2012-01-01,106.1,17.0,855.0,872.0,292000.0,1.9406392694063925
2012-02-01,83.6,17.0,900.0,917.0,292000.0,1.9406392694063925
2012-03-01,313.4,15.0,910.0,925.0,292000.0,1.7123287671232876
2012-04-01,260.6,15.0,829.0,844.0,292000.0,1.7123287671232876
2012-05-01,292.0,11.0,889.0,900.0,292000.0,1.2557077625570776
2012-06-01,53.0,10.0,701.0,711.0,292000.0,1.1415525114155252
2012-07-01,130.8,9.0,899.0,908.0,292000.0,1.0273972602739725
2012-08-01,119.0,15.0,897.0,912.0,292000.0,1.7123287671232876
2012-09-01,107.6,11.0,871.0,882.0,292000.0,1.2557077625570776
2012-10-01,122.2,15.0,847.0,862.0,292000.0,1.7123287671232876
2012-11-01,208.2,14.0,811.0,825.0,292000.0,1.5981735159817352
2012-12-01,363.4,19.0,844.0,863.0,292000.0,2.1689497716894977
2013-01-01,262.0,19.0,858.0,877.0,289000.0,2.1914648212226067
2013-02-01,395.2,19.0,770.0,789.0,289000.0,2.1914648212226067
2013-03-01,85.8,14.0,801.0,815.0,289000.0,1.6147635524798154
2013-04-01,159.4,10.0,832.0,842.0,289000.0,1.1534025374855825
2013-05-01,211.4,13.0,810.0,823.0,289000.0,1.499423298731257
2013-06-01,111.4,17.0,750.0,767.0,289000.0,1.9607843137254901
2013-07-01,174.6,11.0,814.0,825.0,289000.0,1.2687427912341407
2013-08-01,165.6,13.0,856.0,869.0,289000.0,1.499423298731257
2013-09-01,257.0,7.0,831.0,838.0,289000.0,0.8073817762399077
2013-10-01,285.4,9.0,870.0,879.0,289000.0,1.0380622837370244
2013-11-01,292.4,16.0,795.0,811.0,289000.0,1.845444059976932
2013-12-01,348.2,12.0,764.0,776.0,289000.0,1.3840830449826989
2014-01-01,75.4,15.0,801.0,816.0,300400.0,1.6644474034620504
2014-02-01,0.2,18.0,666.0,684.0,300400.0,1.9973368841544605
2014-03-01,66.0,12.0,739.0,751.0,300400.0,1.3315579227696406
2014-04-01,110.0,13.0,790.0,803.0,300400.0,1.442521083000444
2014-05-01,125.8,20.0,848.0,868.0,300400.0,2.2192632046160674
2014-06-01,71.4,11.0,823.0,834.0,300400.0,1.2205947625388371
2014-07-01,148.6,12.0,893.0,905.0,300400.0,1.3315579227696406
2014-08-01,241.0,9.0,926.0,935.0,300400.0,0.9986684420772303
2014-09-01,83.6,17.0,855.0,872.0,300400.0,1.8863737239236573
2014-10-01,120.0,11.0,877.0,888.0,300400.0,1.2205947625388371
2014-11-01,250.8,7.0,815.0,822.0,300400.0,0.7767421216156236
2014-12-01,245.6,10.0,825.0,835.0,300400.0,1.1096316023080337
2015-01-01,79.6,12.0,827.0,839.0,297500.0,1.3445378151260505
2015-02-01,18.8,14.0,828.0,842.0,297500.0,1.5686274509803921
2015-03-01,84.4,12.0,958.0,970.0,297500.0,1.3445378151260505
2015-04-01,73.2,15.0,811.0,826.0,297500.0,1.680672268907563
2015-05-01,89.0,7.0,891.0,898.0,297500.0,0.7843137254901961
2015-06-01,95.8,16.0,827.0,843.0,297500.0,1.792717086834734
2015-07-01,116.8,12.0,892.0,904.0,297500.0,1.3445378151260505
2015-08-01,185.8,12.0,872.0,884.0,297500.0,1.3445378151260505
2015-09-01,61.6,12.0,799.0,811.0,297500.0,1.3445378151260505
2015-10-01,87.2,14.0,873.0,887.0,297500.0,1.5686274509803921
2015-11-01,72.6,14.0,856.0,870.0,297500.0,1.5686274509803921
2015-12-01,302.3,11.0,978.0,989.0,297500.0,1.2324929971988794
2016-01-01,126.6,13.0,895.0,908.0,298400.0,1.4521894548704202
2016-02-01,186.0,8.0,880.0,888.0,298400.0,0.8936550491510277
2016-03-01,6.2,10.0,874.0,884.0,298400.0,1.1170688114387846
2016-04-01,89.8,13.0,851.0,864.0,298400.0,1.4521894548704202
2016-05-01,193.8,11.0,880.0,891.0,298400.0,1.2287756925826632
2016-06-01,162.8,11.0,831.0,842.0,298400.0,1.2287756925826632
2016-07-01,168.6,16.0,947.0,963.0,298400.0,1.7873100983020553
2016-08-01,139.2,12.0,1025.0,1037.0,298400.0,1.3404825737265416
2016-09-01,118.9,8.0,844.0,852.0,298400.0,0.8936550491510277
2016-10-01,181.0,15.0,912.0,927.0,298400.0,1.675603217158177
2016-11-01,290.2,11.0,919.0,930.0,298400.0,1.2287756925826632
2016-12-01,292.6,13.0,829.0,842.0,298400.0,1.4521894548704202
2017-01-01,197.6,8.0,884.0,892.0,304000.0,0.8771929824561404
2017-02-01,158.4,11.0,708.0,719.0,304000.0,1.206140350877193
2017-03-01,136.2,9.0,838.0,847.0,304000.0,0.9868421052631579
2017-04-01,208.6,10.0,841.0,851.0,304000.0,1.0964912280701753
2017-05-01,190.0,13.0,776.0,789.0,304000.0,1.425438596491228
2017-06-01,106.0,9.0,802.0,811.0,304000.0,0.9868421052631579
2017-07-01,79.6,7.0,901.0,908.0,304000.0,0.7675438596491228
2017-08-01,84.2,16.0,820.0,836.0,304000.0,1.7543859649122808
2017-09-01,124.4,11.0,801.0,812.0,304000.0,1.206140350877193
2017-10-01,120.8,3.0,812.0,815.0,304000.0,0.32894736842105265
2017-11-01,268.6,15.0,865.0,880.0,304000.0,1.6447368421052633
2017-12-01,371.2,9.0,905.0,914.0,304000.0,0.9868421052631579
2018-01-01,287.0,10.0,888.0,898.0,302500.0,1.1019283746556474
2018-02-01,14.8,12.0,747.0,759.0,302500.0,1.322314049586777
2018-03-01,44.6,6.0,865.0,871.0,302500.0,0.6611570247933884
2018-04-01,61.2,12.0,817.0,829.0,302500.0,1.322314049586777
2018-05-01,132.2,9.0,795.0,804.0,302500.0,0.9917355371900827
2018-06-01,182.6,11.0,851.0,862.0,302500.0,1.2121212121212122
2018-07-01,143.2,11.0,820.0,831.0,302500.0,1.2121212121212122
2018-08-01,121.6,9.0,862.0,871.0,302500.0,0.9917355371900827
2018-09-01,144.4,9.0,795.0,804.0,302500.0,0.9917355371900827
2018-10-01,234.4,13.0,849.0,862.0,302500.0,1.4325068870523414
2018-11-01,169.6,8.0,937.0,945.0,302500.0,0.8815426997245179
2018-12-01,172.6,14.0,792.0,806.0,302500.0,1.5426997245179064
2019-01-01,63.6,8.0,875.0,883.0,303900.0,0.8774816277284194
2019-02-01,31.6,9.0,740.0,749.0,303900.0,0.9871668311944719
2019-03-01,72.2,13.0,743.0,756.0,303900.0,1.4259076450586816
2019-04-01,174.8,12.0,822.0,834.0,303900.0,1.3162224415926291
2019-05-01,69.0,6.0,818.0,824.0,303900.0,0.6581112207963146
2019-06-01,173.8,11.0,819.0,830.0,303900.0,1.2065372381265769
2019-07-01,12.2,9.0,871.0,880.0,303900.0,0.9871668311944719
2019-08-01,11.8,4.0,761.0,765.0,303900.0,0.4387408138642097
2019-09-01,22.8,10.0,802.0,812.0,303900.0,1.0968520346605242
2019-10-01,176.8,9.0,903.0,912.0,303900.0,0.9871668311944719
2019-11-01,137.4,15.0,844.0,859.0,303900.0,1.6452780519907864
2019-12-01,421.5,12.0,835.0,847.0,303900.0,1.3162224415926291
2020-01-01,88.4,11.0,792.0,803.0,238300.0,1.5386767380053155
2020-02-01,65.0,9.0,586.0,595.0,238300.0,1.2589173310952582
2020-03-01,108.8,11.0,615.0,626.0,238300.0,1.5386767380053155
2020-04-01,188.0,11.0,338.0,349.0,238300.0,1.5386767380053155
2020-05-01,255.6,2.0,304.0,306.0,238300.0,0.27975940691005735
2020-06-01,233.8,7.0,422.0,429.0,238300.0,0.9791579241852008
2020-07-01,140.8,3.0,554.0,557.0,238300.0,0.41963911036508605
2020-08-01,103.4,10.0,513.0,523.0,238300.0,1.3987970345502867
2020-09-01,150.2,4.0,579.0,583.0,238300.0,0.5595188138201147
2020-10-01,78.8,5.0,629.0,634.0,238300.0,0.6993985172751433
2020-11-01,220.6,6.0,600.0,606.0,238300.0,0.8392782207301721
2020-12-01,253.2,4.0,737.0,741.0,238300.0,0.5595188138201147
2021-01-01,692.8,7.0,661.0,668.0,265387.0,0.879219152910027
2021-02-01,1.0,12.0,564.0,576.0,265387.0,1.5072328335600462
2021-03-01,182.4,14.0,642.0,656.0,265387.0,1.758438305820054
2021-04-01,290.4,6.0,614.0,620.0,265387.0,0.7536164167800231
2021-05-01,245.8,12.0,553.0,565.0,265387.0,1.5072328335600462
2021-06-01,93.4,7.0,576.0,583.0,265387.0,0.879219152910027
2021-07-01,195.8,9.0,589.0,598.0,265387.0,1.1304246251700347
2021-08-01,293.6,6.0,632.0,638.0,265387.0,0.7536164167800231
2021-09-01,205.4,6.0,648.0,654.0,265387.0,0.7536164167800231
2021-10-01,177.0,6.0,506.0,512.0,265387.0,0.7536164167800231
2021-11-01,312.4,10.0,588.0,598.0,265387.0,1.2560273613000386
2021-12-01,119.6,12.0,611.0,623.0,265387.0,1.5072328335600462
2022-01-01,99.8,4.0,712.0,716.0,282899.0,0.4713107269143169
2022-02-01,175.0,6.0,525.0,531.0,282899.0,0.7069660903714753
2022-03-01,163.2,11.0,566.0,577.0,282899.0,1.2961044990143715
2022-04-01,239.6,13.0,657.0,670.0,282899.0,1.5317598624715298
2022-05-01,102.0,5.0,718.0,723.0,282899.0,0.5891384086428961
2022-06-01,211.8,6.0,663.0,669.0,282899.0,0.7069660903714753
2022-07-01,145.2,10.0,784.0,794.0,282899.0,1.1782768172857923
2022-08-01,141.4,9.0,727.0,736.0,282899.0,1.060449135557213
2022-09-01,121.0,15.0,722.0,737.0,282899.0,1.7674152259286882
2022-10-01,279.0,14.0,731.0,745.0,282899.0,1.6495875442001091
2022-11-01,313.8,3.0,782.0,785.0,282899.0,0.35348304518573764
2022-12-01,215.4,12.0,854.0,866.0,282899.0,1.4139321807429506
2023-01-01,302.6,10.0,788.0,798.0,293218.0,1.1368106096260575
2023-02-01,324.4,16.0,675.0,691.0,293218.0,1.818896975401692
2023-03-01,243.4,11.0,769.0,780.0,293218.0,1.2504916705886633
2023-04-01,222.8,11.0,798.0,809.0,293218.0,1.2504916705886633
2023-05-01,112.8,10.0,755.0,765.0,293218.0,1.1368106096260575
2023-06-01,228.4,13.0,737.0,750.0,293218.0,1.4778537925138748
2023-07-01,158.0,11.0,755.0,766.0,293218.0,1.2504916705886633
2023-08-01,114.0,11.0,766.0,777.0,293218.0,1.2504916705886633
2023-09-01,133.0,7.0,712.0,719.0,293218.0,0.7957674267382402
2023-10-01,96.6,12.0,806.0,818.0,293218.0,1.364172731551269
2023-11-01,219.0,11.0,704.0,715.0,293218.0,1.2504916705886633
2023-12-01,256.2,13.0,676.0,689.0,293218.0,1.4778537925138748
2024-01-01,499.6,18.0,848.0,866.0,293218.0,2.0462590973269035
2024-02-01,60.2,11.0,698.0,709.0,293218.0,1.2504916705886633
2024-03-01,161.2,12.0,826.0,838.0,293218.0,1.364172731551269
2024-04-01,204.8,11.0,777.0,788.0,293218.0,1.2504916705886633
2024-05-01,226.4,7.0,776.0,783.0,293218.0,0.7957674267382402
2024-06-01,245.4,13.0,740.0,753.0,293218.0,1.4778537925138748
2024-07-01,36.8,11.0,803.0,814.0,293218.0,1.2504916705886633
2024-08-01,85.8,8.0,842.0,850.0,293218.0,0.909448487700846
2024-09-01,122.4,10.0,754.0,764.0,293218.0,1.1368106096260575
2024-10-01,147.6,10.0,763.0,773.0,293218.0,1.1368106096260575
2024-11-01,407.4,15.0,832.0,847.0,293218.0,1.7052159144390864
2024-12-01,234.4,16.0,683.0,699.0,293218.0,1.818896975401692
2025-01-01,480.2,12.0,790.0,802.0,293218.0,1.364172731551269
2025-02-01,73.8,9.0,791.0,800.0,293218.0,1.0231295486634517
2025-03-01,550.1,12.0,797.0,809.0,293218.0,1.364172731551269
2025-04-01,235.6,11.0,933.0,944.0,293218.0,1.2504916705886633
2025-05-01,218.4,18.0,799.0,817.0,293218.0,2.0462590973269035
2025-06-01,148.4,17.0,770.0,787.0,293218.0,1.9325780363642977
2025-07-01,130.2,11.0,797.0,808.0,293218.0,1.2504916705886633
2025-08-01,96.6,10.0,856.0,866.0,293218.0,1.1368106096260575
2025-09-01,234.2,12.0,837.0,849.0,293218.0,1.364172731551269
2025-10-01,90.8,13.0,863.0,876.0,293218.0,1.4778537925138748
2025-11-01,367.0,13.0,896.0,909.0,293218.0,1.4778537925138748
2025-12-01,208.2,11.0,826.0,837.0,293218.0,1.2504916705886633
